,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
88,742903755,26,MANHATTAN,2018-09-14,18:00:00,09/14/2018,18:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN NORTH,101,ASSAULT 3,BEAUTY & NAIL SALON,03/31/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,997177,234774,40.81107497700003,-73.95330303099996,"(40.81107497700003, -73.95330303099996)",POINT (-73.95330303099996 40.81107497700003),
184,207054129,106,QUEENS,2018-01-01,00:00:00,01/01/2019,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO QUEENS SOUTH,155,RAPE 2,RESIDENCE-HOUSE,03/23/2021,,UNKNOWN,UNKNOWN,M,,<18,ASIAN / PACIFIC ISLANDER,F,1028713,187853,40.68218640100008,-73.83969048299997,"(40.68218640100008, -73.83969048299997)",POINT (-73.83969048299997 40.68218640100008),
921,149067382,32,MANHATTAN,2018-07-14,20:00:00,07/18/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/25/2021,,25-44,WHITE,M,,18-24,BLACK,F,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)",POINT (-73.94542041099999 40.81573205300003),
1048,933597286,123,STATEN ISLAND,2018-12-18,11:00:00,12/18/2018,11:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,,HARRASSMENT 2,BLOOMINGDALE PARK,PATROL BORO STATEN ISLAND,638,"HARASSMENT,SUBD 3,4,5",PARK/PLAYGROUND,03/29/2021,,45-64,WHITE,M,,25-44,WHITE,M,914803,125922,40.51203825400006,-74.249754952,"(40.51203825400006, -74.249754952)",POINT (-74.249754952 40.51203825400006),
1070,413812452,44,BRONX,2018-07-06,00:00:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/27/2021,,45-64,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1006434,244344,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)",POINT (-73.91983075699994 40.83732351100008),
2233,356043746,47,BRONX,2018-08-15,10:00:00,08/15/2018,10:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BRONX,357,"LARCENY,PETIT OF VEHICLE ACCES",STREET,03/28/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,M,1030207,263329,40.88933979900003,-73.83378754799998,"(40.88933979900003, -73.83378754799998)",POINT (-73.83378754799998 40.88933979900003),
2948,861172020,41,BRONX,2018-01-01,00:01:00,09/30/2020,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,153,RAPE 3,RESIDENCE - APT. HOUSE,03/30/2021,,18-24,UNKNOWN,M,,<18,UNKNOWN,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",POINT (-73.89529641399997 40.816391847000034),
7948,708709861,7,MANHATTAN,2018-12-18,14:00:00,03/24/2021,15:00:00,ATTEMPTED,,575,2,N.Y. HOUSING POLICE,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,03/24/2021,,25-44,WHITE,F,,25-44,BLACK,F,987482,198516,40.71156493900003,-73.98834336899995,"(40.71156493900003, -73.98834336899995)",POINT (-73.98834336899995 40.71156493900003),
9021,810185057,34,MANHATTAN,2018-01-01,00:01:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/26/2021,,,,,,25-44,WHITE HISPANIC,F,1003947,252034,40.858436187000045,-73.92879592599996,"(40.858436187000045, -73.92879592599996)",POINT (-73.92879592599996 40.858436187000045),
9166,309612620,114,QUEENS,2018-05-24,16:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,118,FELONY,INSIDE,DANGEROUS WEAPONS,,PATROL BORO QUEENS NORTH,792,WEAPONS POSSESSION 1 & 2,OTHER,03/26/2021,,,,,,UNKNOWN,UNKNOWN,E,1007694,219657,40.76956124200007,-73.91536344699995,"(40.76956124200007, -73.91536344699995)",POINT (-73.91536344699995 40.76956124200007),
9471,629978174,47,BRONX,2018-05-06,00:01:00,05/06/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,03/30/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1023914,257054,40.87214742400005,-73.85658471999993,"(40.87214742400005, -73.85658471999993)",POINT (-73.85658471999993 40.87214742400005),
9994,982240908,26,MANHATTAN,2018-10-29,13:31:00,,,ATTEMPTED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",BANK,03/30/2021,,,,,,UNKNOWN,UNKNOWN,D,996130,235208,40.81226765700006,-73.95708452099996,"(40.81226765700006, -73.95708452099996)",POINT (-73.95708452099996 40.81226765700006),
12103,425030524,18,MANHATTAN,2018-01-28,09:00:00,11/20/2020,09:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",CONSTRUCTION SITE,03/19/2021,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,992183,216378,40.76058875800004,-73.97136543499995,"(40.76058875800004, -73.97136543499995)",POINT (-73.97136543499995 40.76058875800004),
14206,140802944,62,BROOKLYN,2018-10-22,17:00:00,10/22/2018,22:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BKLYN SOUTH,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,03/15/2021,,25-44,WHITE,M,,25-44,WHITE,F,985214,159528,40.60455197300007,-73.99652978999995,"(40.60455197300007, -73.99652978999995)",POINT (-73.99652978999995 40.60455197300007),
14452,901424642,67,BROOKLYN,2018-09-28,09:00:00,10/01/2018,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,03/19/2021,,,,,,25-44,BLACK,M,999446,171582,40.63762471600006,-73.94524900899995,"(40.63762471600006, -73.94524900899995)",POINT (-73.94524900899995 40.63762471600006),
15135,241750694,40,BRONX,2018-05-18,15:00:00,03/14/2021,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,03/16/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK HISPANIC,F,1007627,233260,40.80689799800007,-73.91555799199995,"(40.80689799800007, -73.91555799199995)",POINT (-73.91555799199995 40.80689799800007),
15232,507179347,106,QUEENS,2018-01-28,08:00:00,12/19/2019,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,03/16/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,1026813,186126,40.67745552300004,-73.84655180899993,"(40.67745552300004, -73.84655180899993)",POINT (-73.84655180899993 40.67745552300004),
17887,961366346,13,MANHATTAN,2018-08-18,02:00:00,03/19/2021,22:50:00,ATTEMPTED,,,0,N.Y. POLICE DEPT,116,FELONY,,SEX CRIMES,,PATROL BORO MAN SOUTH,164,SODOMY 3,STREET,03/19/2021,,25-44,UNKNOWN,M,,25-44,WHITE HISPANIC,F,988874,207673,40.736698070000045,-73.98331602599995,"(40.736698070000045, -73.98331602599995)",POINT (-73.98331602599995 40.736698070000045),
17951,958265278,41,BRONX,2018-02-01,00:00:00,03/16/2021,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,157,RAPE 1,RESIDENCE - APT. HOUSE,03/16/2021,,<18,UNKNOWN,M,,<18,WHITE HISPANIC,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",POINT (-73.89529641399997 40.816391847000034),
21505,182538229,60,BROOKLYN,2018-02-08,12:00:00,03/12/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,03/15/2021,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,988419,149778,40.57778924400003,-73.98499364899999,"(40.57778924400003, -73.98499364899999)",POINT (-73.98499364899999 40.57778924400003),
21978,766408855,43,BRONX,2018-09-17,15:00:00,,,COMPLETED,,887,2,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,03/16/2021,,45-64,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)",POINT (-73.86969046099993 40.82310129900002),
22757,229055442,120,STATEN ISLAND,2018-03-30,00:00:00,03/09/2021,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,115,FELONY,INSIDE,PROSTITUTION & RELATED OFFENSES,,PATROL BORO STATEN ISLAND,586,SEX TRAFFICKING,RESIDENCE-HOUSE,03/13/2021,,UNKNOWN,WHITE HISPANIC,M,,18-24,WHITE HISPANIC,F,962748,174174,40.64472613100002,-74.07748315899995,"(40.64472613100002, -74.07748315899995)",POINT (-74.07748315899995 40.64472613100002),
23414,776961483,78,BROOKLYN,2018-04-02,00:00:00,03/10/2021,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/10/2021,,,,,,<18,BLACK,M,988992,180940,40.66332216200004,-73.98290904799995,"(40.66332216200004, -73.98290904799995)",POINT (-73.98290904799995 40.66332216200004),
24928,511663340,40,BRONX,2018-01-01,00:01:00,12/31/2018,23:59:00,COMPLETED,,850,2,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,03/05/2021,,,,,,<18,WHITE HISPANIC,F,1004926,234532,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)",POINT (-73.92531074499993 40.81039601900005),
25323,766469848,49,BRONX,2018-06-29,18:56:00,03/04/2021,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,349,"LARCENY,PETIT OF LICENSE PLATE",STORE UNCLASSIFIED,03/04/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,1028064,250324,40.85365601000007,-73.84162321499997,"(40.85365601000007, -73.84162321499997)",POINT (-73.84162321499997 40.85365601000007),
27144,247998794,115,QUEENS,2018-01-01,00:00:00,01/01/2019,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/08/2021,,UNKNOWN,UNKNOWN,M,,<18,WHITE HISPANIC,F,1018699,215043,40.75686097700003,-73.87565666399996,"(40.75686097700003, -73.87565666399996)",POINT (-73.87565666399996 40.75686097700003),
28720,442659142,50,BRONX,2018-06-04,14:00:00,02/28/2021,09:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BRONX,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,03/09/2021,,,,,,18-24,BLACK,M,1008410,258177,40.87528576500005,-73.912639847,"(40.87528576500005, -73.912639847)",POINT (-73.912639847 40.87528576500005),
28929,361922773,34,MANHATTAN,2018-12-18,08:00:00,04/01/2020,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/11/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK HISPANIC,M,1003878,251404,40.85670718000005,-73.92904720799999,"(40.85670718000005, -73.92904720799999)",POINT (-73.92904720799999 40.85670718000005),
29102,699140870,23,MANHATTAN,2018-01-18,16:30:00,02/23/2021,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",HOSPITAL,03/03/2021,,UNKNOWN,UNKNOWN,U,,25-44,ASIAN / PACIFIC ISLANDER,F,997493,227603,40.79139207500003,-73.95217563199996,"(40.79139207500003, -73.95217563199996)",POINT (-73.95217563199996 40.79139207500003),
29161,980020378,84,BROOKLYN,2018-01-26,13:30:00,02/10/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,343,MISDEMEANOR,INSIDE,OTHER OFFENSES RELATED TO THEF,,PATROL BORO BKLYN NORTH,478,"THEFT OF SERVICES, UNCLASSIFIE",HOTEL/MOTEL,03/04/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,985172,194034,40.699263444000046,-73.99667633299998,"(40.699263444000046, -73.99667633299998)",POINT (-73.99667633299998 40.699263444000046),
29515,854906948,14,MANHATTAN,2018-12-01,09:00:00,12/01/2018,14:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",BANK,03/03/2021,,,,,,UNKNOWN,UNKNOWN,D,986781,212761,40.750664208000046,-73.99086657499998,"(40.750664208000046, -73.99086657499998)",POINT (-73.99086657499998 40.750664208000046),
33091,507241092,73,BROOKLYN,2018-04-29,09:00:00,07/31/2018,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,03/06/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,1010516,181163,40.66389656000007,-73.905325609,"(40.66389656000007, -73.905325609)",POINT (-73.905325609 40.66389656000007),
34247,973253147,67,BROOKLYN,2018-11-22,16:00:00,02/10/2021,16:39:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN SOUTH,639,AGGRAVATED HARASSMENT 2,PARKING LOT/GARAGE (PRIVATE),03/02/2021,,25-44,BLACK,M,,25-44,WHITE HISPANIC,M,999602,176145,40.65014890000003,-73.94467654599998,"(40.65014890000003, -73.94467654599998)",POINT (-73.94467654599998 40.65014890000003),
34254,498596615,6,MANHATTAN,2018-07-25,08:00:00,02/25/2021,16:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/26/2021,,25-44,WHITE,F,,45-64,WHITE,F,982755,206652,40.73389675800007,-74.005395837,"(40.73389675800007, -74.005395837)",POINT (-74.005395837 40.73389675800007),
34368,791157151,10,MANHATTAN,2018-07-27,09:00:00,02/27/2021,09:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO MAN SOUTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,03/02/2021,,UNKNOWN,UNKNOWN,U,,25-44,ASIAN / PACIFIC ISLANDER,M,985148,216548,40.76105887700004,-73.99675988599995,"(40.76105887700004, -73.99675988599995)",POINT (-73.99675988599995 40.76105887700004),
34691,931664115,25,MANHATTAN,2018-05-20,12:00:00,02/24/2021,17:54:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,02/24/2021,,25-44,BLACK,M,,25-44,BLACK,M,1001993,234077,40.809153547000044,-73.93590721499999,"(40.809153547000044, -73.93590721499999)",POINT (-73.93590721499999 40.809153547000044),
34978,879924261,24,MANHATTAN,2018-01-01,00:01:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",STREET,02/22/2021,,UNKNOWN,UNKNOWN,U,,<18,BLACK,F,993336,229488,40.796571143000044,-73.96718568699998,"(40.796571143000044, -73.96718568699998)",POINT (-73.96718568699998 40.796571143000044),
35665,496806556,111,QUEENS,2018-03-07,12:00:00,03/01/2021,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,03/01/2021,,,,,,45-64,ASIAN / PACIFIC ISLANDER,M,1043977,215142,40.756998087000056,-73.78441431199997,"(40.756998087000056, -73.78441431199997)",POINT (-73.78441431199997 40.756998087000056),
38082,500872011,81,BROOKLYN,2018-01-01,00:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,02/26/2021,,25-44,BLACK,M,,<18,BLACK,F,1005218,190528,40.689615497000034,-73.92439311199998,"(40.689615497000034, -73.92439311199998)",POINT (-73.92439311199998 40.689615497000034),
40301,657964987,77,BROOKLYN,2018-09-17,16:00:00,02/26/2021,19:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/27/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,1004254,184677,40.673558066000055,-73.92788655799995,"(40.673558066000055, -73.92788655799995)",POINT (-73.92788655799995 40.673558066000055),
43716,414708977,105,QUEENS,2018-09-30,12:00:00,01/14/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,02/27/2021,,,,,,45-64,ASIAN / PACIFIC ISLANDER,F,1055659,203651,40.725371653000025,-73.74236984699996,"(40.725371653000025, -73.74236984699996)",POINT (-73.74236984699996 40.725371653000025),
43831,938582792,60,BROOKLYN,2018-01-01,00:00:00,12/31/2018,23:59:00,COMPLETED,MARLBORO,252,2,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,02/25/2021,,,,,,<18,BLACK,F,990922,149184,40.576157300000034,-73.97598379999994,"(40.576157300000034, -73.97598379999994)",POINT (-73.97598379999994 40.576157300000034),
44045,634857390,70,BROOKLYN,2018-01-01,16:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,02/23/2021,,UNKNOWN,UNKNOWN,U,,<18,BLACK,F,991547,168934,40.63036654500007,-73.97371261299998,"(40.63036654500007, -73.97371261299998)",POINT (-73.97371261299998 40.63036654500007),
