,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
46349,468627655,52,BRONX,2018-04-29,00:01:00,,,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,268,CRIMINAL MIS 2 & 3,TRANSIT - NYC SUBWAY,02/18/2021,KINGSBRIDGE ROAD,UNKNOWN,UNKNOWN,U,11,UNKNOWN,UNKNOWN,D,1013465,254827,40.86607576000005,-73.89437578699994,"(40.86607576000005, -73.89437578699994)",POINT (-73.89437578699994 40.86607576000005),
47251,181311375,47,BRONX,2018-10-20,00:01:00,10/20/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,02/17/2021,,,,,,45-64,BLACK,M,1025163,264344,40.89215047700003,-73.85202407999998,"(40.89215047700003, -73.85202407999998)",POINT (-73.85202407999998 40.89215047700003),
48384,229981914,24,MANHATTAN,2018-01-01,00:01:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",STREET,02/16/2021,,UNKNOWN,UNKNOWN,U,,<18,BLACK,F,993336,229488,40.796571143000044,-73.96718568699998,"(40.796571143000044, -73.96718568699998)",POINT (-73.96718568699998 40.796571143000044),
48986,819544608,41,BRONX,2018-06-01,10:00:00,11/01/2020,09:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/16/2021,,,,,,45-64,WHITE HISPANIC,F,1013079,239844,40.824953118000046,-73.89583576699994,"(40.824953118000046, -73.89583576699994)",POINT (-73.89583576699994 40.824953118000046),
50253,427311455,71,BROOKLYN,2018-05-19,10:00:00,02/09/2021,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,02/09/2021,,,,,,65+,BLACK,F,996813,178270,40.65598595700004,-73.95472346799994,"(40.65598595700004, -73.95472346799994)",POINT (-73.95472346799994 40.65598595700004),
52420,757389051,113,QUEENS,2018-10-04,10:00:00,04/04/2019,12:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,02/14/2021,,,,,,25-44,BLACK,F,1052393,196466,40.705676383000025,-73.75422568999993,"(40.705676383000025, -73.75422568999993)",POINT (-73.75422568999993 40.705676383000025),
53727,661373790,49,BRONX,2018-10-18,01:00:00,11/01/2019,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,02/09/2021,,,,,,25-44,ASIAN / PACIFIC ISLANDER,M,1027440,251415,40.85665355000003,-73.84387180799997,"(40.85665355000003, -73.84387180799997)",POINT (-73.84387180799997 40.85665355000003),
54292,717172486,52,BRONX,2018-06-25,00:00:00,02/10/2021,03:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,02/10/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1017542,255919,40.86905853200005,-73.87963014799993,"(40.86905853200005, -73.87963014799993)",POINT (-73.87963014799993 40.86905853200005),
54560,502263910,40,BRONX,2018-10-12,10:00:00,10/26/2020,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",RESIDENCE - APT. HOUSE,02/12/2021,,,,,,45-64,BLACK,M,1007345,236095,40.81468002500004,-73.91656689099993,"(40.81468002500004, -73.91656689099993)",POINT (-73.91656689099993 40.81468002500004),
54767,282813023,44,BRONX,2018-01-24,09:20:00,01/24/2018,10:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,02/11/2021,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,1006537,244511,40.83778161800007,-73.91945797099999,"(40.83778161800007, -73.91945797099999)",POINT (-73.91945797099999 40.83778161800007),
55367,124948558,108,QUEENS,2018-10-01,00:01:00,10/29/2018,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/19/2021,,,,,,45-64,ASIAN / PACIFIC ISLANDER,M,997257,211010,40.74584895000004,-73.95306003299999,"(40.74584895000004, -73.95306003299999)",POINT (-73.95306003299999 40.74584895000004),
55575,925077441,78,BROOKLYN,2018-07-26,00:00:00,02/09/2021,10:00:00,COMPLETED,,295,2,N.Y. HOUSING POLICE,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,434,"LARCENY,GRAND BY OPEN BANK ACCT",RESIDENCE - PUBLIC HOUSING,02/09/2021,,UNKNOWN,UNKNOWN,U,,65+,BLACK,M,988789,188205,40.68326306500006,-73.98363586399995,"(40.68326306500006, -73.98363586399995)",POINT (-73.98363586399995 40.68326306500006),
57496,906336934,62,BROOKLYN,2018-12-31,08:00:00,11/01/2020,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/04/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,984829,157991,40.60033325400008,-73.99791641999997,"(40.60033325400008, -73.99791641999997)",POINT (-73.99791641999997 40.60033325400008),
59011,659159092,46,BRONX,2018-04-01,09:00:00,03/31/2019,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,02/04/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,1012088,251301,40.85640240700008,-73.89936891599997,"(40.85640240700008, -73.89936891599997)",POINT (-73.89936891599997 40.85640240700008),
59528,748382662,1,MANHATTAN,2018-05-19,09:00:00,01/28/2021,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO MAN SOUTH,770,COMPUTER UNAUTH. USE/TAMPER,RESIDENCE - APT. HOUSE,01/28/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,979318,196681,40.706527512000044,-74.01779021299996,"(40.706527512000044, -74.01779021299996)",POINT (-74.01779021299996 40.706527512000044),
59588,478686654,52,BRONX,2018-06-01,23:00:00,06/30/2020,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,02/05/2021,,UNKNOWN,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1017542,255919,40.86905853200005,-73.87963014799993,"(40.86905853200005, -73.87963014799993)",POINT (-73.87963014799993 40.86905853200005),
59597,195586221,115,QUEENS,2018-06-15,00:00:00,01/30/2021,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,01/31/2021,,65+,WHITE HISPANIC,F,,25-44,WHITE,M,1014509,214026,40.75408490400008,-73.89078516499995,"(40.75408490400008, -73.89078516499995)",POINT (-73.89078516499995 40.75408490400008),
60734,989588397,106,QUEENS,2018-01-20,12:00:00,01/20/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,02/03/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,1026304,186400,40.67821002300008,-73.84838516099995,"(40.67821002300008, -73.84838516099995)",POINT (-73.84838516099995 40.67821002300008),
60891,297606351,84,BROOKLYN,2018-12-05,16:00:00,06/25/2020,14:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN NORTH,407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,01/28/2021,,UNKNOWN,BLACK,F,,UNKNOWN,UNKNOWN,D,988049,191254,40.69163222100008,-73.98630225099998,"(40.69163222100008, -73.98630225099998)",POINT (-73.98630225099998 40.69163222100008),
61722,610233923,115,QUEENS,2018-11-29,06:50:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO QUEENS NORTH,723,"FORGERY,DRIVERS LICENSE",STREET,02/08/2021,,25-44,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,1016612,217769,40.764351026000035,-73.88317662699995,"(40.764351026000035, -73.88317662699995)",POINT (-73.88317662699995 40.764351026000035),
61738,331540073,70,BROOKLYN,2018-06-20,00:01:00,05/16/2019,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,02/05/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,991547,168934,40.63036654500007,-73.97371261299998,"(40.63036654500007, -73.97371261299998)",POINT (-73.97371261299998 40.63036654500007),
64285,721662576,23,MANHATTAN,2018-01-01,00:00:00,12/31/2020,00:00:00,COMPLETED,,613,2,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,177,SEXUAL ABUSE,RESIDENCE - PUBLIC HOUSING,01/29/2021,,18-24,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,998730,226827,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)",POINT (-73.94771000099996 40.78926022400003),
64780,251853399,9,MANHATTAN,2018-07-17,00:00:00,12/16/2020,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,02/07/2021,,UNKNOWN,ASIAN / PACIFIC ISLANDER,F,,25-44,ASIAN / PACIFIC ISLANDER,F,990440,202897,40.72358816000008,-73.97766960299998,"(40.72358816000008, -73.97766960299998)",POINT (-73.97766960299998 40.72358816000008),
67173,410237791,63,BROOKLYN,2018-12-24,21:15:00,12/24/2018,21:35:00,ATTEMPTED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BKLYN SOUTH,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,02/02/2021,,45-64,WHITE,M,,18-24,WHITE,M,1008753,159368,40.60407898600005,-73.91175947599999,"(40.60407898600005, -73.91175947599999)",POINT (-73.91175947599999 40.60407898600005),
67435,197955203,101,QUEENS,2018-10-26,00:00:00,01/18/2019,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,,FRAUDS,,PATROL BORO QUEENS SOUTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,01/23/2021,,,,,,25-44,BLACK,M,1052027,161256,40.60903583700008,-73.75589963899995,"(40.60903583700008, -73.75589963899995)",POINT (-73.75589963899995 40.60903583700008),
71052,358176370,75,BROOKLYN,2018-02-20,00:01:00,01/22/2021,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,01/23/2021,,45-64,BLACK,F,,45-64,BLACK,F,1017119,183909,40.67141166300007,-73.88151172399995,"(40.67141166300007, -73.88151172399995)",POINT (-73.88151172399995 40.67141166300007),
71097,970737256,71,BROOKLYN,2018-12-10,16:00:00,08/01/2020,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,01/22/2021,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,1003553,181953,40.666082852000045,-73.93042147799997,"(40.666082852000045, -73.93042147799997)",POINT (-73.93042147799997 40.666082852000045),
72561,995056901,10,MANHATTAN,2018-01-01,00:01:00,01/22/2021,21:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01/22/2021,,UNKNOWN,BLACK HISPANIC,M,,25-44,WHITE,F,984340,216674,40.76140476000006,-73.99967656899997,"(40.76140476000006, -73.99967656899997)",POINT (-73.99967656899997 40.76140476000006),
73501,433102852,94,BROOKLYN,2018-06-01,11:00:00,01/16/2021,14:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01/23/2021,,45-64,WHITE,F,,25-44,ASIAN / PACIFIC ISLANDER,M,995970,207685,40.73672445200003,-73.95771052499998,"(40.73672445200003, -73.95771052499998)",POINT (-73.95771052499998 40.73672445200003),
75391,247718834,75,BROOKLYN,2018-08-01,00:01:00,09/30/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BKLYN NORTH,157,RAPE 1,RESIDENCE - APT. HOUSE,01/26/2021,,UNKNOWN,WHITE,M,,<18,BLACK HISPANIC,F,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)",POINT (-73.88143295699997 40.67110691100004),
76311,750278587,101,QUEENS,2018-08-07,09:00:00,12/18/2020,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,01/21/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1047825,156482,40.59596336300007,-73.77107818399996,"(40.59596336300007, -73.77107818399996)",POINT (-73.77107818399996 40.59596336300007),
77002,983073556,61,BROOKLYN,2018-05-13,00:00:00,01/21/2021,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE-HOUSE,01/21/2021,,,,,,45-64,WHITE,M,998249,161629,40.61030778600008,-73.94958253799997,"(40.61030778600008, -73.94958253799997)",POINT (-73.94958253799997 40.61030778600008),
78032,293082614,19,MANHATTAN,2018-10-30,19:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,01/19/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,996761,220366,40.77152949400005,-73.95483265599995,"(40.77152949400005, -73.95483265599995)",POINT (-73.95483265599995 40.77152949400005),
78464,804978697,105,QUEENS,2018-11-01,00:01:00,12/04/2020,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO QUEENS SOUTH,155,RAPE 2,RESIDENCE - APT. HOUSE,01/26/2021,,25-44,UNKNOWN,M,,<18,WHITE HISPANIC,F,1057636,203954,40.72618713000002,-73.73523390399998,"(40.72618713000002, -73.73523390399998)",POINT (-73.73523390399998 40.72618713000002),
79656,585018787,73,BROOKLYN,2018-07-01,10:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01/08/2021,,25-44,BLACK,M,,25-44,BLACK,F,1006905,181616,40.66514992000003,-73.91833993399997,"(40.66514992000003, -73.91833993399997)",POINT (-73.91833993399997 40.66514992000003),
79894,172006427,40,BRONX,2018-01-22,15:00:00,06/30/2020,13:24:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,01/08/2021,,UNKNOWN,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,D,1007799,232227,40.80406224200004,-73.91494030999998,"(40.80406224200004, -73.91494030999998)",POINT (-73.91494030999998 40.80406224200004),
81908,710850203,105,QUEENS,2018-11-01,00:01:00,11/30/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,180,COURSE OF SEXUAL CONDUCT AGAIN,RESIDENCE - APT. HOUSE,01/17/2021,,45-64,BLACK,M,,<18,BLACK,F,1057636,203954,40.72618713000002,-73.73523390399998,"(40.72618713000002, -73.73523390399998)",POINT (-73.73523390399998 40.72618713000002),
82644,103388746,81,BROOKLYN,2018-10-14,16:00:00,10/14/2018,16:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,101,ASSAULT 3,RESIDENCE-HOUSE,01/11/2021,,25-44,WHITE HISPANIC,M,,25-44,WHITE,F,1004100,189675,40.687276786000034,-73.92842700999995,"(40.687276786000034, -73.92842700999995)",POINT (-73.92842700999995 40.687276786000034),
84626,616363238,45,BRONX,2018-06-16,13:35:00,01/11/2021,17:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BRONX,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,01/11/2021,,,,,,25-44,WHITE HISPANIC,M,1036517,237598,40.818680904000075,-73.81116667899995,"(40.818680904000075, -73.81116667899995)",POINT (-73.81116667899995 40.818680904000075),
85728,268341170,70,BROOKLYN,2018-10-13,08:00:00,01/01/2020,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,01/17/2021,,UNKNOWN,BLACK,F,,65+,BLACK,M,994062,170587,40.63490125200008,-73.96464944699994,"(40.63490125200008, -73.96464944699994)",POINT (-73.96464944699994 40.63490125200008),
87857,564830333,41,BRONX,2018-07-01,00:01:00,08/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE-HOUSE,01/14/2021,,,,,,25-44,UNKNOWN,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",POINT (-73.89529641399997 40.816391847000034),
88071,177535599,71,BROOKLYN,2018-04-10,00:01:00,04/13/2020,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,01/15/2021,,,,,,65+,WHITE HISPANIC,F,995019,181349,40.664439497000046,-73.96118425799993,"(40.664439497000046, -73.96118425799993)",POINT (-73.96118425799993 40.664439497000046),
88964,834866930,70,BROOKLYN,2018-05-01,00:01:00,12/01/2019,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,01/12/2021,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,M,994989,176665,40.65158298200004,-73.96129985199997,"(40.65158298200004, -73.96129985199997)",POINT (-73.96129985199997 40.65158298200004),
89320,723870164,114,QUEENS,2018-07-01,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE - APT. HOUSE,01/11/2021,,<18,UNKNOWN,M,,<18,UNKNOWN,F,1007654,219564,40.76930608700008,-73.91550817999997,"(40.76930608700008, -73.91550817999997)",POINT (-73.91550817999997 40.76930608700008),
